CODIGO;PRODUTO;PALLET;LASTRO;CAIXAS;UNIDADES
525;AGUA MINERAL FRATELLI VITA C/GAS PET 1,5L CAIXA C/6;;;;
527;AGUA MINERAL FRATELLI VITA S/GAS COPO 200ML CAIXA C/48;;;;
528;DIET SEVEN UP LATA 350ML SIX-PACK BANDEJA C/4;;;;
529;AGUA MINERAL FRATELLI VITA S/GAS 500ML CAIXA C/24;;;;
530;KAS GUARANA ORIGINAL 1,25L;;;;
531;AGUA MINERAL FRATELLI VITA S/GAS PVC 500ML CAIXA C/24;;;;
532;KAS GUARANA ORIGINAL 1L ROLL-ON;;;;
533;MIST. SUBST. ODORIF. LIMAO SPORT BOMBONA 5L;;;;
534;AGUA MINERAL FRATELLI VITA S/GAS PVC 1,5L CAIXA C/12;;;;
535;KAS GUARANA ORIGINAL PRB 2L CAIXA C/9;;;;
536;AGUA MINERAL FRATELLI VITA S/GAS PET 500ML CAIXA C/12;;;;
537;KAS GUARANA ORIGINAL MIX BAG IN BOX 18L;;;;
538;AGUA MINERAL FRATELLI VITA S/GAS PET 1,5L CAIXA C/6;;;;
539;SUKITA DIET LATA 350ML CAIXA C/24;;;;
540;PEPSI COLA PRE-MIX 19L;;;;
541;SUKITA PRE-MIX 19L;;;;
542;LIMAO BRAHMA PRE-MIX 19L;;;;
543;GUARANA BRAHMA PRE-MIX 19L;;;;
544;PEPSI COLA BACK-PACK 10,5L;;;;
545;KITA COLA BACK-PACK 10,5L;;;;
546;SUKITA BACK-PACK 10,5L;;;;
547;LIMAO BRAHMA BACK-PACK 10,5L;;;;
548;GUARANA BRAHMA BACK-PACK 10,5L;;;;
549;DIET PEPSI COLA BACK-PACK 10,5L;;;;
551;SUKITA DIET LATA 350ML SIX-PACK BANDEJA C/4;;;;
554;SUKITA DIET LATA 350ML TWELVE-PACK CARTAO;;;;
555;SUKITA DIET LATA 350ML TWELVE-PACK BANDEJA C/2;;;;
556;KAS GUARANA ORIGINAL ONE WAY 350 ML CAIXA C/12;;;;
557;SUKITA DIET ONE WAY 250ML BANDEJA C/24;;;;
558;SUKITA DIET PET 1L CAIXA C/6;;;;
559;SUKITA DIET PET 2L CAIXA C/4;;;;
560;SUKITA DIET POST-MIX 10,5L;;;;
561;SUKITA DIET MIX POST-MIX 18L;;;;
562;SODA CRISTAL 200ML;;;;
563;TONICA BRAHMA 200ML;;;;
564;KITA COLA 200ML;;;;
565;SUKITA DIET POST-MIX 19L;;;;
566;SUKITA 200ML;;;;
567;LIMAO BRAHMA 200ML;;;;
568;GUARANA BRAHMA 200ML;;;;
569;SUKITA DIET PRE-MIX 19L;;;;
570;LARANJA SKOL 330ML;;;;
572;SODA CRISTAL 290ML;;;;
573;TONICA BRAHMA 290ML;;;;
574;GUARANA SKOL 330ML;;;;
575;SUKITA DIET BACK-PACK 10,5L;;;;
576;SUKITA 290ML;;;;
577;LIMAO BRAHMA 290ML;;;;
578;GUARANA BRAHMA 290ML;;;;
579;SUKITA DIET 290ML;;;;
580;LIMAO BRAHMA LATA 350ML TWELVE-PACK BANDEJA C/2;;;;
582;BRAHMA EXTRA LATA 350ML TWELVE-PACK CARTAO;;;;
583;BRAHMA EXTRA LATA 350ML TWELVE-PACK BANDEJA C/2;;;;
584;BRAHMA EXTRA LATA 350ML BANDEJA C/24;;;;
585;KAS GUARANA ORIGINAL LATA 350ML SIX-PACK BANDEJA C/4;;;;
586;KAS GUARANA ACEROLA 1L ROLL-ON;;;;
588;KAS GUARANA ACEROLA PRB 2L CAIXA C/9;;;;
590;BRAHMA CHOPP LATA 350ML TWELVE-PACK CARTAO FARROUPILHA;;;;
591;BRAHMA CHOPP LATA 350ML TWELVE-PACK BANDEJA C/2 FARROUPILHA;;;;
592;SODA CRISTAL 1L CROWN;;;;
593;TONICA BRAHMA 1L CROWN;;;;
594;GUARANA SKOL 1L CROWN;;;;
595;KITA COLA 1L CROWN;;;;
596;SUKITA 1L CROWN;;;;
597;LIMAO BRAHMA 1L CROWN;;;;
598;GUARANA BRAHMA 1L CROWN;;;;
599;KAS GUARANA ACEROLA LATA 350ML SIX-PACK BANDEJA C/4;;;;
600;BRAHMA CHOPP LATA 350ML BANDEJA C/24 MARAFOLIA;;;;
602;BRAHMA CHOPP 600ML EXPORTACAO;;;;
603;KAS GUARANA MARACUJA 1L ROLL-ON;;;;
606;BRAHMA CHOPP LATA 350ML BANDEJA C/24 CARNATAL;;;;
607;KAS GUARANA MARACUJA 1,25L;;;;
610;BRAHMA CHOPP LATA 350ML TWELVE-PACK CARTAO OKTOBERFEST;;;;
611;BRAHMA CHOPP LATA 350ML TWELVE-PACK BANDEJA C/2 OKTOBERFEST;;;;
